importer,country_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
24,7,-0.7885648743431479,-0.11560364753216631,-0.5664860999194853,-0.02743408830846019,-0.7426830764629588,0.3144309323916931,0.29566114190901616,-0.011059221256756124,-0.243785631299315,-0.07323841121462393,-0.12526910470868244,-0.20178109134951908,-0.0014502556439699036,-0.41794010210621435,0.26372836385337034,-0.08734556248347636
31,6,-0.8717444112855208,-0.9363265157799441,0.6314500615403666,0.18648816770784044,-0.15006967792800438,0.6004599160584229,0.1068678393046248,0.6908828454221672,-1.3803348478679822,-0.7588610688274428,1.5463430888129688,0.4846819715784554,0.39152080549586554,0.5233620417878604,-0.6327912071661402,-0.06339082260074004
32,7,-1.5086600274908468,-0.02079111627537516,-1.0848880279836464,0.02964256919487311,-1.7708396743717578,-0.2699006488103518,0.10398271508283351,0.25923213512989746,0.1855358173489744,0.7235466194898567,-0.3001778022577288,0.17147926232791025,-0.2352086385769733,0.998022597635932,0.40896161440708184,-0.4999483280714183
36,7,-1.520220397148555,0.5298370767493565,0.06711355495067195,-0.0929355904565467,0.2774094568784364,-0.4731945628130882,0.052191233533265026,-0.6499471540465679,1.4080263559802155,0.1918270595445148,-1.0031053214286592,0.17719953462218418,-0.30618514782320355,1.4490043885302233,-1.3415527093361437,-1.2093311391048858
40,6,0.14543269630273412,-0.2569504974436221,2.14198137836611,-0.0020534558312971683,0.030850457544228646,0.5523560727122333,-0.4506584549453237,0.816583620048754,-1.4967703092951417,-0.26132285442616277,1.1869941138463191,0.26734437262027455,0.22544304932068585,0.35313547834593645,-0.5199295669085618,-0.5289651251122409
48,2,1.966359358358856,-0.986299043956785,0.13056109543336492,0.11869620572590284,0.13711898181870472,-1.1418878273069557,0.6400580113727513,-0.026117495132975854,1.4612401733600644,-0.21546663620799783,0.23451713507090274,0.4806288460532631,0.05274646647874661,0.01726265604878776,0.16233564483132654,0.6108259666956575
50,7,-1.3598004869464964,0.1741696941553167,-1.098914499785654,-0.04945096623231648,0.1897101487166697,0.20777891442670063,0.5527164381998698,-0.44000329354680445,0.18711918540424685,-0.32195843226483034,0.17856605950001433,0.04541450235579832,0.08439371137462506,-0.01269731359866274,0.22070087204486377,-0.03176726538393218
56,2,2.950918715788153,-0.1553955142044481,1.0777971488194646,-0.04930897501273312,-0.07048068156197104,-1.0036379954965868,0.13864139428162328,0.07634957438747361,1.0001775710163288,0.21315096460710153,0.0995243197765783,0.24575454931371335,0.11413277717493593,-0.32245463850995476,0.3614005276352798,0.3491492689520899
68,6,-1.3771490573264293,-0.7626119757165756,0.16242190120390196,0.18213957924679464,0.008261223171932359,0.5411175239437813,0.2808173541032004,0.22629969504534278,-0.9112627860456302,-0.8087390422021704,1.4118824131810597,0.6800082815051951,0.3950966917360191,1.3348170461055453,-1.1408045839019147,-0.31685891114491077
70,4,-0.5328082498802666,-0.4931154612915569,0.020319414550554506,0.09214842234035645,-0.188353551611898,0.34925014264073057,0.009123218280346467,-0.23768319722077336,-0.3612621768143351,-0.05312985173490459,0.060042936928638976,-0.2943122174685833,0.28932335130972897,-1.0905328608334934,0.41829810369172504,0.2330172832474447
