product,sector,product_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
0101,Agriculture & Food,0,0.0030032181327593723,-0.10020088082659455,-0.03618745603660005,-0.35117059985630483,0.03501683363461906,0.031860188515194496,0.1338199676009039,0.16730747961314132,-0.014670165756271992,0.006780307199586126,-0.09836274764762734,0.03101930529225343,0.08794823814988774,-0.01203629744240648,-0.020781052089858303,0.01898938316244972
0102,Agriculture & Food,3,0.036180609009146575,-0.13555363648726115,-0.04660930238757649,-0.41489586476585877,0.061770288517529096,-0.0712748069200345,0.09480062507408431,0.23350241496101198,-0.040604526954658056,-0.2526352882964798,-0.17758489203988642,-0.0817678568816343,0.13576932343701,-0.009476673495992932,0.025754720600549882,0.07850678547215284
0103,Agriculture & Food,0,-0.26907936276890815,-0.03175165152514688,0.1739177969074612,-0.5115066591111643,0.03522982904621633,0.016683540116558114,-0.018793875335877928,0.16481992569370005,-0.10905458294410648,-0.14548702454518234,-0.23105770685672003,-0.14131982861713863,0.1253656166510417,0.02458476180760156,0.05152500424581957,0.08205302647234247
0104,Agriculture & Food,3,0.06349602997041257,-0.2044996301203482,-0.007392831432669744,-0.5740614607507102,0.03363839258860831,-0.080507445726391,0.2671959001198187,0.46246384240472216,-0.003465487127708425,-0.4147229623822184,-0.2572970299856149,-0.1423972260645025,-0.034925142289690056,-0.05358813554427229,0.026007856074204878,0.005378869268815416
0105,Agriculture & Food,0,0.003732187487195999,-0.11395340117113258,-0.015705512706212194,-0.459013814403478,0.022719481274420427,-0.059204387738324364,-0.12850754911674175,-0.02455852131564562,-0.049373294872663835,0.036435268881413144,-0.04833065969792083,-0.009617274937517385,0.3074514256432317,0.06853271822616949,0.06485593343907524,0.09389134720284571
0106,Agriculture & Food,0,0.0012633220613763431,-0.07142478074777348,-0.024315498871219234,-0.2717534977576342,0.00862776510489737,0.03684574785069588,-0.031132011350229704,-0.0018167033928487436,0.0054478036052123795,0.05546106154169473,-0.011809011037972333,0.05818876902619869,0.06265469239663525,0.0162686360183505,0.007176474091297772,-0.015236572744463469
0201,Agriculture & Food,0,0.009799567723955165,-0.04046679629390796,-0.02748622596778208,-0.18096914667971054,0.043861373812580685,-0.08884410714215626,0.08154056970322827,0.13027627973061498,-0.05035611217557025,-0.09738250237442359,-0.1911093974888631,-0.038160767020226825,0.24147581849261876,0.012304232944884625,0.0027967526302486684,0.15325547579717705
0202,Agriculture & Food,0,-0.004138930636861875,-0.02721390730753296,-0.012845590637384266,-0.14656068550071885,0.06209771607565654,-0.06944298838918835,0.11778422088521488,0.0768347431365113,-0.08482210957978428,0.14353514851946028,-0.1363980959216684,-0.008808424335316842,0.34757699279045434,0.039758761345898105,-0.029073782037082916,0.17867872603284307
0203,Agriculture & Food,0,-0.01770390633711678,-0.010272409944101448,0.0018624114995691755,-0.060251877405091026,0.007719598869052569,-0.12445176608281806,-0.009482897567851263,0.05091613072489203,-0.07431117827157112,-0.11545715109326493,-0.15595547005946594,-0.018780000247628156,0.30980646022090386,0.06394559397468051,0.042144408484403616,0.19125956172102343
0204,Agriculture & Food,0,0.014681792390842502,-0.10324618335680068,-0.03533054969993246,-0.4275292333566898,0.07764689738223012,-0.06996877329176397,0.02906692455905327,0.07923167414754738,-0.027316533294618587,-0.0032452566942112503,-0.13915945363618515,-0.053074572689209905,0.26029704060179115,0.02627412161143621,0.014351685456958115,0.09824228715672483
0205,Agriculture & Food,3,0.04608041966056406,0.04399653379242551,0.5396889222187619,-0.6358789747810585,0.1394320574295609,-0.03741656336319987,-0.18392248180574144,0.2865611613843207,-0.14033598972955116,-0.36465466288299625,-0.22417243729985423,-0.21692714661554507,-0.03707240635579169,-0.05298009275654332,0.1554259191265754,0.04116136025961675
0206,Agriculture & Food,0,-0.009550136862487365,-0.10888980210066639,-0.02939624957332064,-0.4009596921286217,0.04304550399912057,-0.06558390571925539,-0.017177151518385024,0.064303943168207,-0.04281848211196259,-0.031717883525474375,-0.108571889635795,-0.028598036580865155,0.26142037891409015,0.0581855308089639,0.025546577044940365,0.09431578493472453
0207,Agriculture & Food,4,0.009594422745613587,0.06377901387073988,0.018815547273103354,0.1789582045736999,-0.023644824157380336,-0.0031826563983390105,-0.06781530517054056,-0.11329799829332654,-0.024133000390710743,0.08178984225432769,0.014685980656140614,0.09035849052848363,0.08162020796567912,0.015712963501453885,0.007985242797421575,0.052974190358863436
