importer,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,country_cluster
24,-0.7885648743431479,-0.1156036475321663,-0.5664860999194853,-0.0274340883084601,-0.7426830764629588,0.3144309323916931,0.2956611419090161,-0.0110592212567561,-0.243785631299315,-0.0732384112146239,-0.1252691047086824,-0.201781091349519,-0.0014502556439699,-0.4179401021062143,0.2637283638533703,-0.0873455624834763,7
31,-0.8717444112855208,-0.936326515779944,0.6314500615403666,0.1864881677078404,-0.1500696779280043,0.6004599160584229,0.1068678393046248,0.6908828454221672,-1.3803348478679822,-0.7588610688274428,1.5463430888129688,0.4846819715784554,0.3915208054958655,0.5233620417878604,-0.6327912071661402,-0.06339082260074,6
32,-1.5086600274908468,-0.0207911162753751,-1.0848880279836464,0.0296425691948731,-1.7708396743717578,-0.2699006488103518,0.1039827150828335,0.2592321351298974,0.1855358173489744,0.7235466194898567,-0.3001778022577288,0.1714792623279102,-0.2352086385769733,0.998022597635932,0.4089616144070818,-0.4999483280714183,7
36,-1.520220397148555,0.5298370767493565,0.0671135549506719,-0.0929355904565467,0.2774094568784364,-0.4731945628130882,0.052191233533265,-0.6499471540465679,1.4080263559802155,0.1918270595445148,-1.0031053214286592,0.1771995346221841,-0.3061851478232035,1.4490043885302233,-1.3415527093361437,-1.2093311391048858,7
40,0.1454326963027341,-0.2569504974436221,2.14198137836611,-0.0020534558312971,0.0308504575442286,0.5523560727122333,-0.4506584549453237,0.816583620048754,-1.4967703092951417,-0.2613228544261627,1.1869941138463191,0.2673443726202745,0.2254430493206858,0.3531354783459364,-0.5199295669085618,-0.5289651251122409,6
48,1.966359358358856,-0.986299043956785,0.1305610954333649,0.1186962057259028,0.1371189818187047,-1.1418878273069557,0.6400580113727513,-0.0261174951329758,1.4612401733600644,-0.2154666362079978,0.2345171350709027,0.4806288460532631,0.0527464664787466,0.0172626560487877,0.1623356448313265,0.6108259666956575,2
50,-1.3598004869464964,0.1741696941553167,-1.098914499785654,-0.0494509662323164,0.1897101487166697,0.2077789144267006,0.5527164381998698,-0.4400032935468044,0.1871191854042468,-0.3219584322648303,0.1785660595000143,0.0454145023557983,0.084393711374625,-0.0126973135986627,0.2207008720448637,-0.0317672653839321,7
56,2.950918715788153,-0.1553955142044481,1.0777971488194646,-0.0493089750127331,-0.070480681561971,-1.0036379954965868,0.1386413942816232,0.0763495743874736,1.0001775710163288,0.2131509646071015,0.0995243197765783,0.2457545493137133,0.1141327771749359,-0.3224546385099547,0.3614005276352798,0.3491492689520899,2
68,-1.3771490573264291,-0.7626119757165756,0.1624219012039019,0.1821395792467946,0.0082612231719323,0.5411175239437813,0.2808173541032004,0.2262996950453427,-0.9112627860456302,-0.8087390422021704,1.4118824131810597,0.6800082815051951,0.3950966917360191,1.3348170461055453,-1.1408045839019147,-0.3168589111449107,6
70,-0.5328082498802666,-0.4931154612915569,0.0203194145505545,0.0921484223403564,-0.188353551611898,0.3492501426407305,0.0091232182803464,-0.2376831972207733,-0.3612621768143351,-0.0531298517349045,0.0600429369286389,-0.2943122174685833,0.2893233513097289,-1.0905328608334934,0.418298103691725,0.2330172832474447,4
