model,MAE (val_2022),MAPE (val_2022),RMSE (val_2022),MAE (test_2023-24),MAPE (test_2023-24),RMSE (test_2023-24)
LSTM,7077.405589430279,30.020602140016464,7077.405589430279,6513.1251367858695,165.50993031741356,6594.599144080452
Prophet,5515.495557992736,96.65408440541869,5515.495557992736,3068.252968274291,197.17325012037935,3326.1511108021464
XGBoost,70399.16103716873,242809.43343659182,1552197.4397311856,75468.34076259886,355715.32749118994,1503934.933885799
