model,MAE (val_2022),MAPE (val_2022),RMSE (val_2022),MAE (test_2023-24),MAPE (test_2023-24),RMSE (test_2023-24)
LSTM,450091.48055841605,101.92257938361536,450091.48055841605,636027.0776478212,180.4342695336791,676926.9788804121
Prophet,328462.43882956327,78.10428386535884,328462.43882956327,206521.9322705904,110.3947932779786,222967.58317780076
XGBoost,1021675.187765625,880.2974769129596,2351028.064398778,791871.0742739826,339.0179240566252,1840587.2617670496
